image_name,BoxesString
000000.png,101 91 118 104
000001.png,38 4 50 16
000002.png,0 43 20 63
000003.png,76 109 92 127
000004.png,102 88 112 99
000005.png,78 37 93 51
000006.png,101 48 112 58
000007.png,69 109 81 120
000008.png,70 52 83 68
000009.png,57 38 68 52
000010.png,58 30 71 43
000011.png,111 18 125 30
000012.png,80 89 94 104
000013.png,5 15 22 32
000014.png,86 104 104 121
000015.png,4 26 16 37
000016.png,4 38 16 52
000017.png,84 36 100 50
000018.png,57 18 67 28
000019.png,26 90 38 103
000020.png,58 55 70 68
000021.png,106 39 125 57
000022.png,113 37 123 47
000023.png,43 105 56 118
000024.png,65 84 75 95
000025.png,111 73 125 87
000026.png,86 94 106 113
000027.png,101 91 121 110
000028.png,39 101 56 115
000029.png,101 101 117 116
000030.png,67 112 79 124
000031.png,74 14 85 28
000032.png,58 105 72 122
000033.png,0 31 20 49
000034.png,111 55 125 69
000035.png,112 105 124 119
000036.png,20 5 30 15
000037.png,109 34 127 51
000038.png,47 10 67 25
000039.png,96 73 109 84
000040.png,36 65 53 82
000041.png,47 15 59 27
000042.png,25 19 39 32
000043.png,34 86 45 96
000044.png,110 30 126 45
000045.png,72 111 86 125
000046.png,113 58 123 68
000047.png,4 50 16 65
000048.png,13 77 31 95
000049.png,76 11 92 28
000050.png,26 43 46 63
000051.png,79 5 96 24
000052.png,39 44 50 54
000053.png,99 6 109 16
000054.png,47 47 66 64
000055.png,110 50 126 66
000056.png,47 74 61 87
000057.png,49 20 66 38
000058.png,63 83 79 98
000059.png,8 49 19 61
000060.png,109 50 124 70
000061.png,93 102 105 113
000062.png,99 93 114 108
000063.png,48 93 60 106
000064.png,49 113 59 123
000065.png,13 76 26 89
000066.png,100 101 118 116
000067.png,88 97 103 116
000068.png,28 107 44 125
000069.png,14 5 31 22
000070.png,63 91 75 102
000071.png,80 4 95 16
000072.png,53 113 64 123
000073.png,33 100 45 112
000074.png,7 72 20 85
000075.png,20 108 39 128
000076.png,6 11 16 21
000077.png,13 60 23 70
000078.png,61 14 73 25
000079.png,40 4 53 16
000080.png,3 29 17 45
000081.png,9 94 25 108
000082.png,107 50 118 62
000083.png,97 84 113 100
000084.png,43 14 54 25
000085.png,62 66 78 82
000086.png,20 80 35 95
000087.png,96 4 109 16
000088.png,19 0 35 21
000089.png,101 48 112 59
000090.png,57 43 69 54
000091.png,55 73 67 88
000092.png,71 46 88 64
000093.png,69 74 81 87
000094.png,112 90 124 103
000095.png,32 59 45 73
000096.png,5 43 17 56
000097.png,32 103 49 124
000098.png,3 10 17 23
000099.png,26 84 39 96
000100.png,60 107 74 121
000101.png,91 112 106 124
000102.png,65 0 86 20
000103.png,23 107 40 128
000104.png,39 44 52 59
000105.png,29 82 41 94
000106.png,15 80 32 100
000107.png,77 83 91 97
000108.png,111 98 125 117
000109.png,111 74 125 88
000110.png,107 15 118 27
000111.png,113 73 123 83
000112.png,25 8 38 22
000113.png,21 4 34 16
000114.png,101 101 113 114
000115.png,100 111 111 125
000116.png,70 25 83 42
000117.png,63 82 74 93
000118.png,62 1 80 19
000119.png,100 112 113 124
000120.png,46 33 63 51
000121.png,98 35 113 52
000122.png,56 48 67 59
000123.png,3 69 21 85
000124.png,106 7 123 23
000125.png,102 5 113 16
000126.png,58 10 77 24
000127.png,95 88 112 106
000128.png,9 45 24 57
000129.png,105 49 122 63
000130.png,3 73 18 87
000131.png,9 42 20 53
000132.png,65 64 83 84
000133.png,105 19 116 30
000134.png,49 18 64 32
000135.png,14 2 29 19
000136.png,72 81 85 93
000137.png,111 30 125 42
000138.png,4 112 16 124
000139.png,28 111 42 124
000140.png,3 12 17 27
000141.png,8 101 21 117
000142.png,64 112 76 124
000143.png,12 37 28 54
000144.png,19 86 36 100
000145.png,109 102 119 112
000146.png,13 16 28 31
000147.png,43 65 60 82
000148.png,4 37 16 49
000149.png,68 29 84 46
000150.png,4 89 16 101
000151.png,29 1 46 19
000152.png,52 84 66 97
000153.png,86 110 102 126
000154.png,71 43 84 57
000155.png,110 69 126 86
000156.png,12 32 34 52
000157.png,102 11 117 28
000158.png,54 88 70 104
000159.png,34 76 46 88
000160.png,107 56 119 71
000161.png,69 69 84 85
000162.png,53 112 64 124
000163.png,87 67 101 85
000164.png,61 111 75 125
000165.png,5 102 16 113
000166.png,26 55 38 69
000167.png,70 94 80 104
000168.png,90 1 108 19
000169.png,86 1 104 19
000170.png,77 5 87 15
000171.png,40 106 59 126
000172.png,84 73 95 84
000173.png,53 4 67 16
000174.png,67 48 77 58
000175.png,112 5 122 15
000176.png,42 106 61 125
000177.png,54 12 66 23
000178.png,58 17 71 32
000179.png,52 9 64 20
000180.png,105 26 120 41
000181.png,62 33 75 47
000182.png,111 92 123 107
000183.png,28 68 38 79
000184.png,14 67 31 83
000185.png,70 89 83 102
000186.png,32 17 45 30
000187.png,74 30 87 43
000188.png,73 106 83 117
000189.png,45 107 57 119
000190.png,41 5 53 19
000191.png,7 101 19 113
000192.png,85 34 95 45
